epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.314,2.17134,2.79552,1.83995,0.30663,0.27044,0.20829,0.07582,2.3207,2.70856,1.92726,0.0671594,0.000331723,0.000331723
2,263.168,2.15338,2.42193,1.88484,0.32212,0.23649,0.20089,0.07276,2.4102,2.57734,2.05831,0.0341331,0.00063872,0.00063872
3,389.176,2.15977,2.39264,1.89101,0.38365,0.3002,0.26181,0.0932,2.2382,2.3759,2.04305,0.00108035,0.000919317,0.000919317
4,514.831,2.14581,2.33885,1.90653,0.32888,0.30101,0.23429,0.08807,2.25098,2.75902,2.02996,0.0008812,0.0008812,0.0008812
5,640.616,2.1044,2.30434,1.8694,0.33347,0.30012,0.25112,0.09422,2.24645,2.35457,1.95055,0.0008416,0.0008416,0.0008416
6,771.106,2.10646,2.22549,1.85592,0.4527,0.3436,0.33175,0.12965,2.12644,2.13662,1.92802,0.000802,0.000802,0.000802
7,898.966,2.05306,2.16242,1.8124,0.46449,0.35487,0.33861,0.13251,2.14937,2.10306,1.88552,0.0007624,0.0007624,0.0007624
8,1026.88,2.04683,2.13223,1.80806,0.48674,0.36798,0.37171,0.1474,2.08324,2.04753,1.91255,0.0007228,0.0007228,0.0007228
9,1159.66,2.01767,2.09377,1.80077,0.46391,0.3897,0.37746,0.15219,2.08331,1.9472,1.8456,0.0006832,0.0006832,0.0006832
10,1289.56,2.01288,2.03717,1.77402,0.54274,0.39929,0.42621,0.16987,2.09649,1.9712,1.84261,0.0006436,0.0006436,0.0006436
11,1416.1,1.98456,1.99115,1.75756,0.52288,0.40293,0.42059,0.17193,2.08432,1.90954,1.83848,0.000604,0.000604,0.000604
12,1542.54,1.98145,1.9701,1.75046,0.51966,0.40956,0.42948,0.17521,2.07416,1.88473,1.8009,0.0005644,0.0005644,0.0005644
13,1668.57,1.95169,1.95917,1.74787,0.56511,0.41766,0.43532,0.17884,2.06037,1.95975,1.83104,0.0005248,0.0005248,0.0005248
14,1793.86,1.95103,1.90894,1.72569,0.61606,0.42923,0.47454,0.19673,2.04931,1.85208,1.81085,0.0004852,0.0004852,0.0004852
15,1919.63,1.91285,1.84985,1.7064,0.5881,0.45456,0.48116,0.20206,2.04263,1.76644,1.81566,0.0004456,0.0004456,0.0004456
16,2050.8,1.90967,1.85093,1.70278,0.59365,0.45973,0.49744,0.20906,2.03758,1.74185,1.77216,0.000406,0.000406,0.000406
17,2183.22,1.9059,1.78765,1.69374,0.59939,0.4413,0.49045,0.20377,2.0361,1.78052,1.8058,0.0003664,0.0003664,0.0003664
18,2311,1.88953,1.78987,1.69056,0.57589,0.4524,0.48714,0.20639,2.02221,1.78163,1.78934,0.0003268,0.0003268,0.0003268
19,2438.29,1.87437,1.75694,1.67058,0.62403,0.48593,0.52478,0.22643,2.01164,1.67655,1.76847,0.0002872,0.0002872,0.0002872
20,2564.46,1.87058,1.71517,1.66669,0.64882,0.47315,0.53119,0.22818,2.01459,1.66763,1.79181,0.0002476,0.0002476,0.0002476
21,2689.26,1.84553,1.61234,1.66179,0.62986,0.48862,0.53593,0.2262,2.01133,1.69149,1.75289,0.000208,0.000208,0.000208
22,2816.75,1.83307,1.5659,1.64793,0.61199,0.49584,0.52955,0.22773,2.01493,1.6611,1.76167,0.0001684,0.0001684,0.0001684
23,2943.07,1.81545,1.51856,1.62982,0.65656,0.49806,0.55136,0.23891,2.0132,1.61897,1.75805,0.0001288,0.0001288,0.0001288
24,3067.77,1.80196,1.50728,1.63051,0.67548,0.49023,0.55472,0.24309,2.00316,1.61031,1.76017,8.92e-05,8.92e-05,8.92e-05
25,3192.28,1.78176,1.48255,1.60355,0.6729,0.50119,0.56559,0.24822,1.9944,1.58432,1.74793,4.96e-05,4.96e-05,4.96e-05
